 Category, Question, Answer
1994 FILMS,"As mad bomber Howard Payne in this film, Dennis Hopper planted a bomb on an L.A. area transit bus",Speed
1994 FILMS,"Containing the hit 'Can You Feel The Love Tonight', it was Disney's first animated feature not based on an existing story",The Lion King
1994 FILMS,In this film Martin Scorsese says the TV audience wants 'To  watch the money',Quiz Show
1994 FILMS,"Jean Vander Pyl, who played Wilma in the original cartoon series, played Mrs. Feldspar in this movie adaptation",The Flintstones
1994 FILMS,Quentin Tarantino directed this film & also had a bit role as Jimmy of Toluca Lake,Pulp Fiction
3 LITTLE LETTERS,"A TV cable network, or an explosive for bombs",TNT
3 LITTLE LETTERS,Day to Day' & 'All Things Considered' are among the programs going out to its 26 million listeners,NPR
3 LITTLE LETTERS,"Its headquarters compound in Langley, Virginia is named for Former President George Bush",the CIA
3 LITTLE LETTERS,"Like banks, many grocery stores now have these for dispensing cash & taking deposits",ATMs
3 LITTLE LETTERS,Rampant use of this 3-letter insecticide lead to a hefty settlement for restorating the population of Catalina's bald eagles,DDT
3-LETTER WORDS,"A single layer of paper, or to perform one's craft diligently",ply
3-LETTER WORDS,"A small demon, or a mischievous child (who might be a little demon!)",imp
3-LETTER WORDS,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
3-LETTER WORDS,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era
3-LETTER WORDS,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
4 CONSONANTS IN A ROW,A caterpillar that moves by contraction & expansion,an inchworm
4 CONSONANTS IN A ROW,"A loop found on footwear, it's a symbol of success through one's own efforts",a bootstrap
4 CONSONANTS IN A ROW,Hard coal that burns with little flame,anthracite
4 CONSONANTS IN A ROW,"If you're vertical but supported by your palms, you're doing one of these",a handstand
4 CONSONANTS IN A ROW,This important mechanism is what you're turning when you wind a clock,the mainspring
A MASSIVE 'M'ETROPOLIS,1.1 million: in the heart of the Po River Valley,Milan
A MASSIVE 'M'ETROPOLIS,11 million: on Luzon Island,Manila
A MASSIVE 'M'ETROPOLIS,18 million: on the Arabian Sea,Mumbai
A MASSIVE 'M'ETROPOLIS,3.2 million: 150 miles from Bogota,Medellin
A MASSIVE 'M'ETROPOLIS,3.6 million: Down Under,Melbourne
A STATE OF COLLEGE-NESS,"Antioch, Bowling Green, Kent State",Ohio
A STATE OF COLLEGE-NESS,"Baylor, Stephen F. Austin, Rice",Texas
A STATE OF COLLEGE-NESS,"DePaul, Wheaton, Northwestern",Illinois
A STATE OF COLLEGE-NESS,"Grambling, McNeese State, Southern",Louisiana
A STATE OF COLLEGE-NESS,"Wayne State, Kalamazoo College, Madonna University (it's Franciscan Catholic, not Material Girl)",Michigan
AIRLINE TRAVEL,"In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France
AIRLINE TRAVEL,In 2004 United launched this new service that features low fares & more seats per plane,Ted
